
--- Tarjan-Vishkin Algorithm's results ---
Total Biconnected Components (BCCs) found: 223
BCC 1 (Bridge): {(560, 1160)}
BCC 192 (Bridge): {(62, 374)}
BCC 193 (Bridge): {(26, 42)}
BCC 194 (Bridge): {(81, 773)}
BCC 195 (Bridge): {(437, 822)}
BCC 196 (Bridge): {(35, 863)}
BCC 197 (Bridge): {(444, 936)}
BCC 198 (Bridge): {(289, 733)}
BCC 199 (Bridge): {(282, 1139)}
BCC 200 (Bridge): {(134, 459)}
BCC 201 (Bridge): {(81, 550)}
BCC 202 (Bridge): {(13, 452)}
BCC 203 (Bridge): {(627, 732)}
BCC 204 (Bridge): {(84, 983)}
BCC 205 (Bridge): {(295, 379)}
BCC 206 (Bridge): {(301, 688)}
BCC 207 (Bridge): {(366, 817)}
BCC 208 (Bridge): {(238, 897)}
BCC 209 (Bridge): {(989, 1061)}
BCC 210 (Bridge): {(483, 1109)}
BCC 211 (Bridge): {(638, 759)}
BCC 212 (Bridge): {(10, 372)}
BCC 213 (Bridge): {(764, 812)}
BCC 214 (Bridge): {(269, 1134)}
BCC 215 (Bridge): {(49, 169)}
BCC 216 (Bridge): {(735, 767)}
BCC 217 (Bridge): {(380, 840)}
BCC 218 (Bridge): {(632, 1140)}
BCC 219 (Bridge): {(162, 208)}
BCC 220 (Bridge): {(652, 1155)}
BCC 221 (Bridge): {(589, 1048)}
BCC 222 (Bridge): {(401, 601)}
BCC 223 (Bridge): {(1003, 1199)}

Articulation Points (Cut Vertices): 0 6 9 10 13 17 22 26 30 32 34 35 37 42 43 47 49 51 53 54 62 76 78 79 81 84 89 91 93 96 98 99 101 108 109 113 117 122 126 128 134 138 139 149 157 158 161 162 170 171 172 176 177 184 188 189 192 193 194 195 196 202 203 206 225 227 228 230 232 238 241 242 246 248 255 268 269 275 281 282 289 291 295 296 298 300 301 305 312 319 321 322 323 325 327 328 338 346 356 362 363 366 372 374 375 377 380 382 383 390 391 397 401 402 411 415 417 422 437 444 449 452 453 469 478 479 483 487 492 497 503 509 514 529 533 536 546 552 554 555 560 563 564 566 571 578 585 589 590 596 599 614 627 630 632 638 640 652 656 667 672 674 679 681 689 690 703 705 706 716 718 719 735 751 764 767 784 791 792 793 805 811 841 842 845 847 869 873 921 952 989 1003 1091 

Algorithm 2 (Tarjan-Vishkin) sequential simulation finished.
Execution time: 1024 microseconds
